Time Stamp (ms),qw,qx,qy,qz
33504,0,0,0,0
33538,0,0,0,0
33572,0,0,0,0
33605,0,0,0,0
33638,0,0,0,0
33672,0,0,0,0
33704,0,0,0,0
33739,0,0,0,0
33772,0,0,0,0
33807,0,0,0,0
33839,0,0,0,0
33872,0,0,0,0
33906,0,0,0,0
33940,0,0,0,0
33973,0,0,0,0
34007,0,0,0,0
34040,0,0,0,0
34073,0,0,0,0
34106,0,0,0,0
34141,0,0,0,0
34173,0,0,0,0
34207,0,0,0,0
34241,0,0,0,0
34275,0,0,0,0
34308,0,0,0,0
34342,0,0,0,0
34375,0,0,0,0
34409,0,0,0,0
34441,0,0,0,0
34476,0,0,0,0
34509,0,0,0,0
34543,0,0,0,0
34576,0,0,0,0
34610,0,0,0,0
34644,0,0,0,0
34678,0,0,0,0
34711,0,0,0,0
34745,0,0,0,0
34778,0,0,0,0
34811,0,0,0,0
34844,0,0,0,0
34878,0,0,0,0
34912,0,0,0,0
34946,0,0,0,0
34979,0,0,0,0
35014,0,0,0,0
35047,0,0,0,0
35081,0,0,0,0
35114,0,0,0,0
35147,0,0,0,0
35180,0,0,0,0
35214,0,0,0,0
35247,0,0,0,0
35282,0,0,0,0
35316,0,0,0,0
35349,0,0,0,0
35382,0,0,0,0
35416,0,0,0,0
35450,0,0,0,0
35484,0,0,0,0
35517,0,0,0,0
35551,0,0,0,0
35584,0,0,0,0
35617,0,0,0,0
35651,0,0,0,0
35685,0,0,0,0
35719,0,0,0,0
35752,0,0,0,0
35786,0,0,0,0
35819,0,0,0,0
35854,0,0,0,0
35887,0,0,0,0
35921,0,0,0,0
35954,0,0,0,0
35988,0,0,0,0
36021,0,0,0,0
36055,0,0,0,0
36089,0,0,0,0
36122,0,0,0,0
36157,0,0,0,0
36190,0,0,0,0
36224,0,0,0,0
36257,0,0,0,0
36290,0,0,0,0
36323,0,0,0,0
36358,0,0,0,0
36391,0,0,0,0
36424,0,0,0,0
36457,0,0,0,0
36491,0,0,0,0
36525,0,0,0,0
36558,0,0,0,0
36592,0,0,0,0
36625,0,0,0,0
36659,0,0,0,0
36692,0,0,0,0
36726,0,0,0,0
36759,0,0,0,0
36793,0,0,0,0
36825,0,0,0,0
36860,0,0,0,0
36894,0,0,0,0
36927,0,0,0,0
36961,0,0,0,0
36994,0,0,0,0
37028,0,0,0,0
37060,0,0,0,0
