Time Stamp (ms),qw,qx,qy,qz
27491,0,0,0,0
27524,0,0,0,0
27559,0,0,0,0
27591,0,0,0,0
27625,0,0,0,0
27658,0,0,0,0
27692,0,0,0,0
27725,0,0,0,0
27759,0,0,0,0
27792,0,0,0,0
27827,0,0,0,0
27861,0,0,0,0
27894,0,0,0,0
27929,0,0,0,0
27960,0,0,0,0
27995,0,0,0,0
28029,0,0,0,0
28062,0,0,0,0
28095,0,0,0,0
28129,0,0,0,0
28163,0,0,0,0
28196,0,0,0,0
28229,0,0,0,0
28263,0,0,0,0
28298,0,0,0,0
28330,0,0,0,0
28364,0,0,0,0
28398,0,0,0,0
28431,0,0,0,0
28464,0,0,0,0
28498,0,0,0,0
28533,0,0,0,0
28565,0,0,0,0
28597,0,0,0,0
28631,0,0,0,0
28666,0,0,0,0
28700,0,0,0,0
28733,0,0,0,0
28767,0,0,0,0
28799,0,0,0,0
28833,0,0,0,0
28866,0,0,0,0
28900,0,0,0,0
28933,0,0,0,0
28967,0,0,0,0
29001,0,0,0,0
29034,0,0,0,0
29068,0,0,0,0
29102,0,0,0,0
29135,0,0,0,0
29168,0,0,0,0
29202,0,0,0,0
29236,0,0,0,0
29269,0,0,0,0
29303,0,0,0,0
29336,0,0,0,0
29370,0,0,0,0
29403,0,0,0,0
29437,0,0,0,0
29471,0,0,0,0
29504,0,0,0,0
29537,0,0,0,0
29572,0,0,0,0
29605,0,0,0,0
29639,0,0,0,0
29672,0,0,0,0
29706,0,0,0,0
29739,0,0,0,0
29773,0,0,0,0
29806,0,0,0,0
29840,0,0,0,0
29873,0,0,0,0
29908,0,0,0,0
29942,0,0,0,0
29975,0,0,0,0
30008,0,0,0,0
30042,0,0,0,0
30075,0,0,0,0
30109,0,0,0,0
30142,0,0,0,0
30176,0,0,0,0
30210,0,0,0,0
30243,0,0,0,0
30276,0,0,0,0
30311,0,0,0,0
30344,0,0,0,0
30379,0,0,0,0
30411,0,0,0,0
30445,0,0,0,0
30479,0,0,0,0
30513,0,0,0,0
30545,0,0,0,0
30580,0,0,0,0
30613,0,0,0,0
30647,0,0,0,0
30681,0,0,0,0
30715,0,0,0,0
30748,0,0,0,0
30781,0,0,0,0
30815,0,0,0,0
30848,0,0,0,0
30883,0,0,0,0
30916,0,0,0,0
30949,0,0,0,0
30983,0,0,0,0
31017,0,0,0,0
31050,0,0,0,0
31084,0,0,0,0
31117,0,0,0,0
31151,0,0,0,0
31183,0,0,0,0
31217,0,0,0,0
31252,0,0,0,0
31284,0,0,0,0
31319,0,0,0,0
31352,0,0,0,0
31384,0,0,0,0
31419,0,0,0,0
31452,0,0,0,0
31485,0,0,0,0
31519,0,0,0,0
31553,0,0,0,0
31586,0,0,0,0
31619,0,0,0,0
31653,0,0,0,0
31687,0,0,0,0
31720,0,0,0,0
31753,0,0,0,0
31787,0,0,0,0
31821,0,0,0,0
31854,0,0,0,0
31887,0,0,0,0
31921,0,0,0,0
31955,0,0,0,0
31988,0,0,0,0
32022,0,0,0,0
32056,0,0,0,0
32089,0,0,0,0
32123,0,0,0,0
32156,0,0,0,0
32190,0,0,0,0
32224,0,0,0,0
32257,0,0,0,0
32291,0,0,0,0
32324,0,0,0,0
32358,0,0,0,0
32392,0,0,0,0
32425,0,0,0,0
32459,0,0,0,0
32492,0,0,0,0
32526,0,0,0,0
32559,0,0,0,0
32593,0,0,0,0
32627,0,0,0,0
32661,0,0,0,0
32694,0,0,0,0
32727,0,0,0,0
32762,0,0,0,0
32795,0,0,0,0
32828,0,0,0,0
32862,0,0,0,0
32896,0,0,0,0
32930,0,0,0,0
32964,0,0,0,0
32996,0,0,0,0
33030,0,0,0,0
33064,0,0,0,0
33097,0,0,0,0
33131,0,0,0,0
33164,0,0,0,0
33198,0,0,0,0
33232,0,0,0,0
33266,0,0,0,0
33299,0,0,0,0
33334,0,0,0,0
33367,0,0,0,0
33400,0,0,0,0
33434,0,0,0,0
33467,0,0,0,0
33501,0,0,0,0
33533,0,0,0,0
33567,0,0,0,0
33601,0,0,0,0
33634,0,0,0,0
33668,0,0,0,0
33701,0,0,0,0
33735,0,0,0,0
33769,0,0,0,0
33802,0,0,0,0
33836,0,0,0,0
33871,0,0,0,0
33904,0,0,0,0
33937,0,0,0,0
33971,0,0,0,0
34004,0,0,0,0
34036,0,0,0,0
34070,0,0,0,0
34104,0,0,0,0
34137,0,0,0,0
34170,0,0,0,0
34205,0,0,0,0
34238,0,0,0,0
34271,0,0,0,0
34305,0,0,0,0
34338,0,0,0,0
34373,0,0,0,0
34406,0,0,0,0
34440,0,0,0,0
34473,0,0,0,0
34506,0,0,0,0
34540,0,0,0,0
34573,0,0,0,0
34608,0,0,0,0
34641,0,0,0,0
34674,0,0,0,0
34708,0,0,0,0
34742,0,0,0,0
34776,0,0,0,0
34809,0,0,0,0
34842,0,0,0,0
34876,0,0,0,0
34909,0,0,0,0
34943,0,0,0,0
34976,0,0,0,0
35010,0,0,0,0
35043,0,0,0,0
35077,0,0,0,0
35111,0,0,0,0
35145,0,0,0,0
35178,0,0,0,0
35212,0,0,0,0
35245,0,0,0,0
35278,0,0,0,0
35313,0,0,0,0
35346,0,0,0,0
35380,0,0,0,0
35414,0,0,0,0
35447,0,0,0,0
35480,0,0,0,0
35514,0,0,0,0
35548,0,0,0,0
35582,0,0,0,0
35615,0,0,0,0
35648,0,0,0,0
35683,0,0,0,0
35716,0,0,0,0
35750,0,0,0,0
35783,0,0,0,0
35817,0,0,0,0
35851,0,0,0,0
35884,0,0,0,0
35917,0,0,0,0
35951,0,0,0,0
35984,0,0,0,0
36020,0,0,0,0
36052,0,0,0,0
36086,0,0,0,0
36119,0,0,0,0
36153,0,0,0,0
36186,0,0,0,0
36220,0,0,0,0
36253,0,0,0,0
36287,0,0,0,0
36321,0,0,0,0
36355,0,0,0,0
36389,0,0,0,0
36421,0,0,0,0
36456,0,0,0,0
36489,0,0,0,0
36522,0,0,0,0
36556,0,0,0,0
36589,0,0,0,0
36623,0,0,0,0
36657,0,0,0,0
36689,0,0,0,0
36724,0,0,0,0
36757,0,0,0,0
36789,0,0,0,0
36824,0,0,0,0
36858,0,0,0,0
36891,0,0,0,0
36924,0,0,0,0
36957,0,0,0,0
36992,0,0,0,0
37024,0,0,0,0
37058,0,0,0,0
37091,0,0,0,0
37126,0,0,0,0
37159,0,0,0,0
37193,0,0,0,0
37226,0,0,0,0
37260,0,0,0,0
37293,0,0,0,0
37327,0,0,0,0
37361,0,0,0,0
37394,0,0,0,0
37427,0,0,0,0
37460,0,0,0,0
37494,0,0,0,0
37529,0,0,0,0
37561,0,0,0,0
37595,0,0,0,0
37628,0,0,0,0
37662,0,0,0,0
37696,0,0,0,0
37729,0,0,0,0
37763,0,0,0,0
37797,0,0,0,0
37830,0,0,0,0
37864,0,0,0,0
37897,0,0,0,0
37931,0,0,0,0
37964,0,0,0,0
37998,0,0,0,0
38032,0,0,0,0
38065,0,0,0,0
38099,0,0,0,0
38133,0,0,0,0
38166,0,0,0,0
38200,0,0,0,0
38234,0,0,0,0
38268,0,0,0,0
38302,0,0,0,0
38334,0,0,0,0
38368,0,0,0,0
38402,0,0,0,0
38436,0,0,0,0
38469,0,0,0,0
38503,0,0,0,0
38537,0,0,0,0
38569,0,0,0,0
38603,0,0,0,0
38637,0,0,0,0
38672,0,0,0,0
38704,0,0,0,0
38738,0,0,0,0
38772,0,0,0,0
38805,0,0,0,0
38838,0,0,0,0
38873,0,0,0,0
38906,0,0,0,0
38939,0,0,0,0
38973,0,0,0,0
39006,0,0,0,0
39040,0,0,0,0
39075,0,0,0,0
39108,0,0,0,0
39141,0,0,0,0
39174,0,0,0,0
39208,0,0,0,0
39241,0,0,0,0
39275,0,0,0,0
39309,0,0,0,0
39343,0,0,0,0
39375,0,0,0,0
39410,0,0,0,0
39442,0,0,0,0
39476,0,0,0,0
39509,0,0,0,0
39543,0,0,0,0
39577,0,0,0,0
39609,0,0,0,0
39644,0,0,0,0
39677,0,0,0,0
39711,0,0,0,0
39744,0,0,0,0
39778,0,0,0,0
39811,0,0,0,0
39844,0,0,0,0
39878,0,0,0,0
39912,0,0,0,0
39945,0,0,0,0
39979,0,0,0,0
40013,0,0,0,0
40045,0,0,0,0
40080,0,0,0,0
40114,0,0,0,0
40147,0,0,0,0
40180,0,0,0,0
40214,0,0,0,0
40247,0,0,0,0
40281,0,0,0,0
40314,0,0,0,0
40348,0,0,0,0
40382,0,0,0,0
40416,0,0,0,0
40448,0,0,0,0
40483,0,0,0,0
40516,0,0,0,0
40550,0,0,0,0
40583,0,0,0,0
40617,0,0,0,0
40650,0,0,0,0
40684,0,0,0,0
40717,0,0,0,0
40751,0,0,0,0
40786,0,0,0,0
40818,0,0,0,0
40852,0,0,0,0
40886,0,0,0,0
40919,0,0,0,0
40953,0,0,0,0
40986,0,0,0,0
41020,0,0,0,0
41054,0,0,0,0
41087,0,0,0,0
41121,0,0,0,0
41155,0,0,0,0
41188,0,0,0,0
41222,0,0,0,0
41255,0,0,0,0
41289,0,0,0,0
41323,0,0,0,0
41356,0,0,0,0
41391,0,0,0,0
41424,0,0,0,0
41457,0,0,0,0
41491,0,0,0,0
41525,0,0,0,0
41559,0,0,0,0
41592,0,0,0,0
41625,0,0,0,0
41660,0,0,0,0
41692,0,0,0,0
41726,0,0,0,0
41760,0,0,0,0
41793,0,0,0,0
41826,0,0,0,0
41861,0,0,0,0
41893,0,0,0,0
41928,0,0,0,0
41961,0,0,0,0
41994,0,0,0,0
42028,0,0,0,0
42061,0,0,0,0
42095,0,0,0,0
42128,0,0,0,0
42162,0,0,0,0
42196,0,0,0,0
42230,0,0,0,0
42263,0,0,0,0
42296,0,0,0,0
42331,0,0,0,0
42363,0,0,0,0
42396,0,0,0,0
42430,0,0,0,0
42463,0,0,0,0
42497,0,0,0,0
